label,message,cleaned,tokens
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",six chance win cash pounds txt csh send cost pday days tsandcs app rep hl info,"['six', 'chance', 'win', 'cash', 'pounds', 'txt', 'csh', 'send', 'cost', 'pday', 'days', 'tsandcs', 'app', 'rep', 'hl', 'info']"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent week free membership prize jackpot txt word claim tc wwwdbuknet lccltd pobox ldnwarw,"['urgent', 'week', 'free', 'membership', 'prize', 'jackpot', 'txt', 'word', 'claim', 'tc', 'wwwdbuknet', 'lccltd', 'pobox', 'ldnwarw']"
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ive search right words thank breather promise wont take help grant fulfil promise wonderful bless time,"['ive', 'search', 'right', 'words', 'thank', 'breather', 'promise', 'wont', 'take', 'help', 'grant', 'fulfil', 'promise', 'wonderful', 'bless', 'time']"
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,date sunday,"['date', 'sunday']"
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",xxxmobilemovieclub use credit click wap link next txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,"['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'message', 'click', 'httpwap', 'xxxmobilemovieclubcomnqjkgighjjgcbl']"
ham,Oh k...i'm watching here:),oh kim watch,"['oh', 'kim', 'watch']"
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh remember spell name yes naughty make wet,"['eh', 'remember', 'spell', 'name', 'yes', 'naughty', 'make', 'wet']"
ham,Fine if thats the way u feel. Thats the way its gota b,fine thats way feel thats way gota,"['fine', 'thats', 'way', 'feel', 'thats', 'way', 'gota']"
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",england macedonia dont miss goalsteam news txt ur national team eg england trywale scotland txt poboxoxwwq,"['england', 'macedonia', 'dont', 'miss', 'goalsteam', 'news', 'txt', 'ur', 'national', 'team', 'eg', 'england', 'trywale', 'scotland', 'txt', 'poboxoxwwq']"
ham,Is that seriously how you spell his name?,serious spell name,"['serious', 'spell', 'name']"
ham,I‘m going to try for 2 months ha ha only joking,im going try months ha ha jok,"['im', 'going', 'try', 'months', 'ha', 'ha', 'jok']"
ham,So ü pay first lar... Then when is da stock comin...,pay first lar da stock comin,"['pay', 'first', 'lar', 'da', 'stock', 'comin']"
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft finish lunch go str lor ard smth lor finish ur lunch already,"['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', 'smth', 'lor', 'finish', 'ur', 'lunch', 'already']"
ham,Ffffffffff. Alright no way I can meet up with you sooner?,ffffffffff alright way meet sooner,"['ffffffffff', 'alright', 'way', 'meet', 'sooner']"
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,forc eat slice im real hungry tho sucks mark gett worry knows im sick turn pizza lol,"['forc', 'eat', 'slice', 'im', 'real', 'hungry', 'tho', 'sucks', 'mark', 'gett', 'worry', 'knows', 'im', 'sick', 'turn', 'pizza', 'lol']"
ham,Lol your always so convincing.,lol always convinc,"['lol', 'always', 'convinc']"
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,catch bus fry egg make tea eat moms left dinner feel love,"['catch', 'bus', 'fry', 'egg', 'make', 'tea', 'eat', 'moms', 'left', 'dinner', 'feel', 'love']"
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",im back amp pack car ill let know there room,"['im', 'back', 'amp', 'pack', 'car', 'ill', 'let', 'know', 'there', 'room']"
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahhh work vague remember feel like lol,"['ahhh', 'work', 'vague', 'remember', 'feel', 'like', 'lol']"
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",wait thats still clear sure sarcastic thats doesnt want live us,"['wait', 'thats', 'still', 'clear', 'sure', 'sarcastic', 'thats', 'doesnt', 'want', 'live', 'us']"
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah got apologetic fallen actin like spoilt child got caught till wont go bad cheer,"['yeah', 'got', 'apologetic', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', 'wont', 'go', 'bad', 'cheer']"
ham,K tell me anything about you.,tell anyth,"['tell', 'anyth']"
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,fear faint housework quick cuppa,"['fear', 'faint', 'housework', 'quick', 'cuppa']"
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thanks subscrip ringtone uk mobile charg month please confirm reply yes rep charg,"['thanks', 'subscrip', 'ringtone', 'uk', 'mobile', 'charg', 'month', 'please', 'confirm', 'reply', 'yes', 'rep', 'charg']"
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok go home look tim msg xuhui going learn nd may lesson,"['yup', 'ok', 'go', 'home', 'look', 'tim', 'msg', 'xuhui', 'going', 'learn', 'nd', 'may', 'lesson']"
ham,"Oops, I'll let you know when my roommate's done",oops ill let know roommate done,"['oops', 'ill', 'let', 'know', 'roommate', 'done']"
ham,I see the letter B on my car,see letter car,"['see', 'letter', 'car']"
ham,Anything lor... U decide...,anyth lor decide,"['anyth', 'lor', 'decide']"
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello hows saturday go text see youd decid anyth tomo im try invite anyth,"['hello', 'hows', 'saturday', 'go', 'text', 'see', 'youd', 'decid', 'anyth', 'tomo', 'im', 'try', 'invite', 'anyth']"
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pls go ahead watts want sure great weekend abiola,"['pls', 'go', 'ahead', 'watts', 'want', 'sure', 'great', 'weekend', 'abiola']"
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",forget tell want need crave love sweet arabian ste mmmmmm yummy,"['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'arabian', 'ste', 'mmmmmm', 'yummy']"
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,rodger burns msg tri call rep sms free nokia mobile free camcorder please call delivery tomorrow,"['rodger', 'burns', 'msg', 'tri', 'call', 'rep', 'sms', 'free', 'nokia', 'mobile', 'free', 'camcorder', 'please', 'call', 'delivery', 'tomorrow']"
ham,WHO ARE YOU SEEING?,see,['see']
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,great hope like man well endow ltgt inche,"['great', 'hope', 'like', 'man', 'well', 'endow', 'ltgt', 'inche']"
ham,No calls..messages..missed calls,callsmessagesmiss calls,"['callsmessagesmiss', 'calls']"
ham,Didn't you get hep b immunisation in nigeria.,didnt get hep immunisa nigeria,"['didnt', 'get', 'hep', 'immunisa', 'nigeria']"
ham,"Fair enough, anything going on?",fair enough anyth going,"['fair', 'enough', 'anyth', 'going']"
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",yeah hopeful tyler cant could maybe ask around bit,"['yeah', 'hopeful', 'tyler', 'cant', 'could', 'maybe', 'ask', 'around', 'bit']"
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,dont know stubborn didnt even want go hospital kept tell mark im weak sucker hospitals weak sucker,"['dont', 'know', 'stubborn', 'didnt', 'even', 'want', 'go', 'hospital', 'kept', 'tell', 'mark', 'im', 'weak', 'sucker', 'hospitals', 'weak', 'sucker']"
ham,What you thinked about me. First time you saw me in class.,think first time saw class,"['think', 'first', 'time', 'saw', 'class']"
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",gram usual runs like ltgt half eighth smarter though gets almost whole second gram ltgt,"['gram', 'usual', 'runs', 'like', 'ltgt', 'half', 'eighth', 'smarter', 'though', 'gets', 'almost', 'whole', 'second', 'gram', 'ltgt']"
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,fyi ride ear tomorrow morn hes crash place tonight,"['fyi', 'ride', 'ear', 'tomorrow', 'morn', 'hes', 'crash', 'place', 'tonight']"
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",wow never realize embarass accomodat thought lik since best could always seem happy cave im sorry didnt dont give im sorry offer im sorry room embarass,"['wow', 'never', 'realize', 'embarass', 'accomodat', 'thought', 'lik', 'since', 'best', 'could', 'always', 'seem', 'happy', 'cave', 'im', 'sorry', 'didnt', 'dont', 'give', 'im', 'sorry', 'offer', 'im', 'sorry', 'room', 'embarass']"
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end rep end sptv,"['sms', 'ac', 'sptv', 'new', 'jersey', 'devils', 'detroit', 'red', 'wings', 'play', 'ice', 'hockey', 'correct', 'incorrect', 'end', 'rep', 'end', 'sptv']"
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,know mallika sherawat yesterday find lturlgt,"['know', 'mallika', 'sherawat', 'yesterday', 'find', 'lturlgt']"
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",congrats year special cinema pass call suprman matrix starwars etc free bxipwe pm dont miss,"['congrats', 'year', 'special', 'cinema', 'pass', 'call', 'suprman', 'matrix', 'starwars', 'etc', 'free', 'bxipwe', 'pm', 'dont', 'miss']"
ham,"Sorry, I'll call later in meeting.",sorry ill call later meet,"['sorry', 'ill', 'call', 'later', 'meet']"
ham,Tell where you reached,tell reach,"['tell', 'reach']"
ham,Yes..gauti and sehwag out of odi series.,yesgauti sehwag odi sery,"['yesgauti', 'sehwag', 'odi', 'sery']"
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,gonna pick burger way home cant even move pain kill,"['gonna', 'pick', 'burger', 'way', 'home', 'cant', 'even', 'move', 'pain', 'kill']"
ham,Ha ha ha good joke. Girls are situation seekers.,ha ha ha good joke girls situa seeker,"['ha', 'ha', 'ha', 'good', 'joke', 'girls', 'situa', 'seeker']"
ham,Its a part of checking IQ,part check iq,"['part', 'check', 'iq']"
ham,"Sorry my roommates took forever, it ok if I come by now?",sorry roommate took forever ok come,"['sorry', 'roommate', 'took', 'forever', 'ok', 'come']"
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ok lar double check wif da hair dresser already said wun cut short said cut look nice,"['ok', 'lar', 'double', 'check', 'wif', 'da', 'hair', 'dresser', 'already', 'said', 'wun', 'cut', 'short', 'said', 'cut', 'look', 'nice']"
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",valu customer pleas advise follow recent review mob award bonus prize call,"['valu', 'customer', 'pleas', 'advise', 'follow', 'recent', 'review', 'mob', 'award', 'bonus', 'prize', 'call']"
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",today song dedicat day song dedicate send ur valuable frnds first rply,"['today', 'song', 'dedicat', 'day', 'song', 'dedicate', 'send', 'ur', 'valuable', 'frnds', 'first', 'rply']"
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",urgent ur award complimentary trip eurodisinc trav acoentry claim txt dis morefrmmob shracomorsglsuplt ls aj,"['urgent', 'ur', 'award', 'complimentary', 'trip', 'eurodisinc', 'trav', 'acoentry', 'claim', 'txt', 'dis', 'morefrmmob', 'shracomorsglsuplt', 'ls', 'aj']"
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",hear new divorce barbie come kens stuff,"['hear', 'new', 'divorce', 'barbie', 'come', 'kens', 'stuff']"
ham,I plane to give on this month end.,plane give month end,"['plane', 'give', 'month', 'end']"
ham,Wah lucky man... Then can save money... Hee...,wah lucky man save money hee,"['wah', 'lucky', 'man', 'save', 'money', 'hee']"
ham,Finished class where are you.,finish class,"['finish', 'class']"
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,hi babe im home wanna someth xx,"['hi', 'babe', 'im', 'home', 'wanna', 'someth', 'xx']"
ham,K..k:)where are you?how did you performed?,kkwhere youhow perform,"['kkwhere', 'youhow', 'perform']"
ham,U can call me now...,call,['call']
ham,I am waiting machan. Call me once you free.,wait machan call free,"['wait', 'machan', 'call', 'free']"
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,thats cool gentleman treat dignity respect,"['thats', 'cool', 'gentleman', 'treat', 'dignity', 'respect']"
ham,I like you peoples very much:) but am very shy pa.,like people much shy pa,"['like', 'people', 'much', 'shy', 'pa']"
ham,Does not operate after  &lt;#&gt;  or what,operate ltgt,"['operate', 'ltgt']"
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,still look job much tas earn,"['still', 'look', 'job', 'much', 'tas', 'earn']"
ham,"Sorry, I'll call later",sorry ill call later,"['sorry', 'ill', 'call', 'later']"
ham,K. Did you call me just now ah? ,call ah,"['call', 'ah']"
ham,Ok i am on the way to home hi hi,ok way home hi hi,"['ok', 'way', 'home', 'hi', 'hi']"
ham,You will be in the place of that man,place man,"['place', 'man']"
ham,Yup next stop.,yup next stop,"['yup', 'next', 'stop']"
ham,"I call you later, don't have network. If urgnt, sms me.",call later dont network urgnt sms,"['call', 'later', 'dont', 'network', 'urgnt', 'sms']"
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,real gett yo need tickets one jacket im done already used multis,"['real', 'gett', 'yo', 'need', 'tickets', 'one', 'jacket', 'im', 'done', 'already', 'used', 'multis']"
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,yes start send requests make pain came back im back bed double coins factory gotta cash nitros,"['yes', 'start', 'send', 'requests', 'make', 'pain', 'came', 'back', 'im', 'back', 'bed', 'double', 'coins', 'factory', 'gotta', 'cash', 'nitros']"
ham,I'm really not up to it still tonight babe,im real still tonight babe,"['im', 'real', 'still', 'tonight', 'babe']"
ham,"Ela kano.,il download, come wen ur free..",ela kanoil download come wen ur free,"['ela', 'kanoil', 'download', 'come', 'wen', 'ur', 'free']"
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,yeah dont stand close tho youll catch someth,"['yeah', 'dont', 'stand', 'close', 'tho', 'youll', 'catch', 'someth']"
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,sorry pain ok meet another night spent late afternoon casualty means havent done any stuffmoro include time sheets sorry,"['sorry', 'pain', 'ok', 'meet', 'another', 'night', 'spent', 'late', 'afternoon', 'casualty', 'means', 'havent', 'done', 'any', 'stuffmoro', 'include', 'time', 'sheets', 'sorry']"
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile pleasure smile pain smile trouble pours like rain smile sum hurts smile becoz someone still love see smil,"['smile', 'pleasure', 'smile', 'pain', 'smile', 'trouble', 'pours', 'like', 'rain', 'smile', 'sum', 'hurts', 'smile', 'becoz', 'someone', 'still', 'love', 'see', 'smil']"
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,please call customer service representative ampm guarantee cash prize,"['please', 'call', 'customer', 'service', 'representative', 'ampm', 'guarantee', 'cash', 'prize']"
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,havent plann buy later check already lido got show afternoon finish work already,"['havent', 'plann', 'buy', 'later', 'check', 'already', 'lido', 'got', 'show', 'afternoon', 'finish', 'work', 'already']"
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",free ringtone wait collect simp text password mix verify get usher britney fml po box mk ppw,"['free', 'ringtone', 'wait', 'collect', 'simp', 'text', 'password', 'mix', 'verify', 'get', 'usher', 'britney', 'fml', 'po', 'box', 'mk', 'ppw']"
ham,Watching telugu movie..wat abt u?,watch telugu moviewat abt,"['watch', 'telugu', 'moviewat', 'abt']"
ham,i see. When we finish we have loads of loans to pay,see finish loads loans pay,"['see', 'finish', 'loads', 'loans', 'pay']"
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",hi wk ok hols yes bit run forgot hairdresser appoint four need get home shower beforehand cause prob,"['hi', 'wk', 'ok', 'hols', 'yes', 'bit', 'run', 'forgot', 'hairdresser', 'appoint', 'four', 'need', 'get', 'home', 'shower', 'beforehand', 'cause', 'prob']"
ham,I see a cup of coffee animation,see cup coffee anima,"['see', 'cup', 'coffee', 'anima']"
ham,Please don't text me anymore. I have nothing else to say.,please dont text anymore noth else say,"['please', 'dont', 'text', 'anymore', 'noth', 'else', 'say']"
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,okay name ur price long legal wen pick ave ams xx,"['okay', 'name', 'ur', 'price', 'long', 'legal', 'wen', 'pick', 'ave', 'ams', 'xx']"
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,im still look car buy gone driv test yet,"['im', 'still', 'look', 'car', 'buy', 'gone', 'driv', 'test', 'yet']"
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friends callertune,"['per', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'set', 'callertune', 'caller', 'press', 'copy', 'friends', 'callertune']"
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",wow youre right didnt mean guess gave boston men chang search loca nyc someth chang cuz signin page still says boston,"['wow', 'youre', 'right', 'didnt', 'mean', 'guess', 'gave', 'boston', 'men', 'chang', 'search', 'loca', 'nyc', 'someth', 'chang', 'cuz', 'signin', 'page', 'still', 'says', 'boston']"
ham,Umma my life and vava umma love you lot dear,umma life vava umma love lot dear,"['umma', 'life', 'vava', 'umma', 'love', 'lot', 'dear']"
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,thanks lot wishe birthday thanks mak birthday tru memorable,"['thanks', 'lot', 'wishe', 'birthday', 'thanks', 'mak', 'birthday', 'tru', 'memorable']"
ham,"Aight, I'll hit you up when I get some cash",aight ill hit get cash,"['aight', 'ill', 'hit', 'get', 'cash']"
ham,How would my ip address test that considering my computer isn't a minecraft server,would ip address test consider computer isnt minecraft server,"['would', 'ip', 'address', 'test', 'consider', 'computer', 'isnt', 'minecraft', 'server']"
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,know grumpy old people mom like better lying always one play joke,"['know', 'grumpy', 'old', 'people', 'mom', 'like', 'better', 'lying', 'always', 'one', 'play', 'joke']"
ham,Dont worry. I guess he's busy.,dont worry guess hes busy,"['dont', 'worry', 'guess', 'hes', 'busy']"
ham,What is the plural of the noun research?,plural noun research,"['plural', 'noun', 'research']"
ham,Going for dinner.msg you after.,going dinnermsg,"['going', 'dinnermsg']"
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,im ok wif cos like try new things scar dun like mah cos said loud,"['im', 'ok', 'wif', 'cos', 'like', 'try', 'new', 'things', 'scar', 'dun', 'like', 'mah', 'cos', 'said', 'loud']"
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,gent try contact last weekends draw shows prize guarantee call claim code valid hrs ppm,"['gent', 'try', 'contact', 'last', 'weekends', 'draw', 'shows', 'prize', 'guarantee', 'call', 'claim', 'code', 'valid', 'hrs', 'ppm']"
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",wa ur openin sentence formal anyway im fine juz tt im eatin much puttin weighthaha anythin special happen,"['wa', 'ur', 'openin', 'sentence', 'formal', 'anyway', 'im', 'fine', 'juz', 'tt', 'im', 'eatin', 'much', 'puttin', 'weighthaha', 'anythin', 'special', 'happen']"
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",enter cabin pa said happy bday boss felt special askd lunch lunch invit apart went,"['enter', 'cabin', 'pa', 'said', 'happy', 'bday', 'boss', 'felt', 'special', 'askd', 'lunch', 'lunch', 'invit', 'apart', 'went']"
spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,winner special select receive holiday flights inc speak live operator claim pmin,"['winner', 'special', 'select', 'receive', 'holiday', 'flights', 'inc', 'speak', 'live', 'operator', 'claim', 'pmin']"
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,goodo yes must speak friday eggpotato ratio tortilla need,"['goodo', 'yes', 'must', 'speak', 'friday', 'eggpotato', 'ratio', 'tortilla', 'need']"
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,hmmmy uncle inform hes pay school direct pls buy food,"['hmmmy', 'uncle', 'inform', 'hes', 'pay', 'school', 'direct', 'pls', 'buy', 'food']"
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,private account state shows unredeem bonus points claim call identifier code expire,"['private', 'account', 'state', 'shows', 'unredeem', 'bonus', 'points', 'claim', 'call', 'identifier', 'code', 'expire']"
spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",urgent mobile award bonus caller prize final try contact call landline boxwrc ppm,"['urgent', 'mobile', 'award', 'bonus', 'caller', 'prize', 'final', 'try', 'contact', 'call', 'landline', 'boxwrc', 'ppm']"
ham,here is my new address -apples&pairs&all that malarky,new address applespairsall malarky,"['new', 'address', 'applespairsall', 'malarky']"
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,todays voda number end select receive award match please call quot claim code standard rate app,"['todays', 'voda', 'number', 'end', 'select', 'receive', 'award', 'match', 'please', 'call', 'quot', 'claim', 'code', 'standard', 'rate', 'app']"
ham,I am going to sao mu today. Will be done only at 12 ,going sao mu today done,"['going', 'sao', 'mu', 'today', 'done']"
ham,Ü predict wat time ü'll finish buying?,predict wat time finish buy,"['predict', 'wat', 'time', 'finish', 'buy']"
ham,"Good stuff, will do.",good stuff,"['good', 'stuff']"
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",knowyetunde hasnt sent money yet sent text bother send dont involve anyth shouldnt impos anyth first place apologise,"['knowyetunde', 'hasnt', 'sent', 'money', 'yet', 'sent', 'text', 'bother', 'send', 'dont', 'involve', 'anyth', 'shouldnt', 'impos', 'anyth', 'first', 'place', 'apologise']"
ham,Are you there in room.,room,['room']
